BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;H01_warmtetotaal;H02_Vraag_aardgas;H03_Vraag_groengas;H04_Vraag_elekwarmte;H05_Vraag_MTwarmte;H06_Vraag_LTwarmte;H07_Warmte_hectare;H08_Vraag_koude;H09_Vraag_elektotaal;H10_CO2_reductie;H11_Nat_abskosten;H12_Nat_meerkosten;H13_Nat_meerkost_CO2;H16_Nat_meerkost_WEQ;nr_OrgEntity
BU01640000;BU01640000;Binnenstad-Centrum;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;684;402;1961;False;5;0;0;5;0;0;405;2;47;5347;5048737;1109529;208;566;1067
BU01640001;BU01640001;Binnenstad-West;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;476;111;913;False;7;0;0;7;0;0;336;2;38;2604;2171322;595004;228;652;1068
BU01640002;BU01640002;Binnenstad-Oost;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;563;115;789;False;8;0;0;8;0;0;246;2;29;2309;1996614;780164;338;989;1069
BU01640100;BU01640100;Hengelose Es-Noord;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1719;318;1895;False;7;0;0;7;0;0;148;2;22;4355;4133676;1866453;429;985;1070
BU01640101;BU01640101;Tichelwerk;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1819;285;2422;False;7;0;0;7;0;0;267;2;24;6951;5677202;2482756;357;1025;1071
BU01640102;BU01640102;t Wilbert;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1399;104;1511;False;9;0;0;9;0;0;231;2;22;4511;3876043;1936325;429;1282;1072
BU01640103;BU01640103;Bedrijventerrein Timmersveld;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;28;22;172;False;5;0;0;5;0;0;47;2;59;491;582913;122960;250;717;1073
BU01640200;BU01640200;Noord;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;2038;416;2230;False;8;0;0;8;0;0;244;2;22;5504;4951116;2341256;425;1050;1074
BU01640201;BU01640201;Elsbeek;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;918;114;1072;False;9;0;0;9;0;0;250;2;25;3263;2793022;1294675;397;1209;1075
BU01640202;BU01640202;De Noork;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;1184;151;1273;False;8;0;0;8;0;0;291;2;21;3172;2845801;1378580;435;1084;1076
BU01640203;BU01640203;Klein Driene;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;854;106;893;False;6;0;0;6;0;0;250;2;18;1623;1611634;798850;492;895;1077
BU01640204;BU01640204;t Rot;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;41;9;65;False;9;0;0;9;0;0;8;3;31;177;196930;41762;236;645;1078
BU01640300;BU01640300;Bovenhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;926;10;954;False;8;0;0;8;0;0;141;2;20;2299;2011217;940306;409;986;1079
BU01640301;BU01640301;Schothorsthoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;277;10;312;False;11;0;0;11;0;0;74;2;24;1052;833178;329862;314;1059;1080
BU01640302;BU01640302;Bartelinkshoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;559;8;566;False;8;0;0;8;0;0;87;2;19;1367;1157249;552201;404;977;1081
BU01640303;BU01640303;Tijertshoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;497;6;508;False;8;0;0;8;0;0;228;2;19;1223;1049299;499180;408;983;1082
BU01640304;BU01640304;Sogtoenhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;725;58;891;False;7;0;0;7;0;0;273;2;27;1965;1911437;793607;404;891;1083
BU01640305;BU01640305;Bruninkshoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;453;3;454;False;9;0;0;9;0;0;218;2;20;1177;991758;466495;396;1029;1084
BU01640306;BU01640306;Middelhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;634;10;638;False;9;0;0;9;0;0;126;2;21;1712;1409342;653005;381;1024;1085
BU01640307;BU01640307;Molendijkhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;687;17;718;False;9;0;0;9;0;0;215;2;21;1881;1597469;742191;395;1034;1086
BU01640308;BU01640308;Weijinkshoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;497;3;498;False;8;0;0;8;0;0;180;1;19;1196;1034098;495153;414;996;1087
BU01640309;BU01640309;Oosterveld;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;34;38;131;False;6;0;0;6;0;0;15;3;43;288;370195;60968;212;466;1088
BU01640400;BU01640400;Zwavertshoek;WK016404;Wijk 04 Groot Driene;GM0164;Hengelo;Twente;Overijssel;531;145;567;False;8;0;0;8;0;0;169;3;22;1445;1393654;684937;474;1208;1089
BU01640401;BU01640401;Anninks-/Nijhofshoek;WK016404;Wijk 04 Groot Driene;GM0164;Hengelo;Twente;Overijssel;1101;258;1458;False;8;0;0;8;0;0;165;2;26;3960;3528250;1485649;375;1019;1090
BU01640402;BU01640402;Groot Driene-Zuid;WK016404;Wijk 04 Groot Driene;GM0164;Hengelo;Twente;Overijssel;1064;97;1152;False;9;0;0;9;0;0;174;2;23;3383;2885078;1262536;373;1097;1091
BU01640403;BU01640403;Groot Driene-Noord;WK016404;Wijk 04 Groot Driene;GM0164;Hengelo;Twente;Overijssel;1640;342;2050;False;7;0;0;7;0;0;181;2;22;4827;4504000;2067011;428;1008;1092
BU01640500;BU01640500;Bedrijventerrein Twentekanaal-Zuid II;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;2;8;81;False;4;0;0;4;0;0;6;1;31;136;181709;18909;139;235;1093
BU01640501;BU01640501;Berflo Es Noord;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;1915;152;2181;False;7;0;0;7;0;0;224;2;22;5103;4553497;2044786;401;938;1094
BU01640502;BU01640502;Berflo Es Zuid;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;721;92;772;False;9;0;0;9;0;0;249;2;22;2127;1794336;840286;395;1089;1095
BU01640503;BU01640503;Bedrijventerrein Twentekanaal-Noord II;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;26;33;198;False;4;0;0;4;0;0;24;1;21;334;327887;79731;238;404;1096
BU01640504;BU01640504;Veldwijk-Noord;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;520;39;602;False;6;0;0;6;0;0;132;1;19;1079;1124702;518934;481;862;1097
BU01640505;BU01640505;Veldwijk-Zuid;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;476;34;588;False;8;0;0;8;0;0;67;2;25;1574;1368143;532067;338;906;1098
BU01640506;BU01640506;Boeldershoek;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;7;4;13;False;10;0;0;10;0;0;1;5;44;62;81199;12011;193;981;1099
BU01640600;BU01640600;Bedrijventerrein Twentekanaal-Zuid I;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;26;122;1106;False;3;0;0;3;0;0;16;1;30;1706;2117710;429774;252;389;1100
BU01640601;BU01640601;Tuindorp t Lansink;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;955;157;2288;False;6;0;0;6;0;0;229;1;29;6294;5026344;1812908;288;793;1101
BU01640602;BU01640602;Tuindorp-Zuid;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;1499;209;1701;False;8;0;0;8;0;0;243;2;24;4900;4151590;1872487;382;1101;1102
BU01640603;BU01640603;Bedrijventerrein Twentekanaal-Noord I;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;11;46;151;False;4;0;0;4;0;0;16;3;39;390;476367;74943;192;496;1103
BU01640604;BU01640604;Nijverheid;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;2265;253;2420;False;8;0;0;8;0;0;152;2;22;6523;5736235;2700250;414;1116;1104
BU01640605;BU01640605;Vikkerhoek;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;338;68;372;False;9;0;0;9;0;0;64;3;24;1130;1027231;447798;396;1205;1105
BU01640606;BU01640606;Bedrijventerrein Zeggershoek;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;3;16;61;False;4;0;0;4;0;0;3;3;60;102;230928;12221;120;202;1106
BU01640700;BU01640700;Bedrijventerrein Westermaat-Zuidwest;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;53;180;1241;False;4;0;0;4;0;0;40;1;55;2086;3039814;266558;128;215;1107
BU01640701;BU01640701;Woolde;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;756;150;1426;False;8;0;0;8;0;0;106;2;29;4390;3248243;1029214;234;722;1108
BU01640702;BU01640702;Woolder Es;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;1233;177;1394;False;8;0;0;8;0;0;154;2;22;3651;3242934;1492561;409;1071;1109
