BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;I12_opp_woningen;I13_opp_utiliteit;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H19_Waarde_hernieuwbaar_gas;Woning_H21_CapaciteitsvraagE;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H19_Waarde_hernieuwbaar_gas;Util_H21_CapaciteitsvraagE;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;Util_A30_Aansl_LabelA;Util_A31_Aansl_LabelB;Util_A32_Aansl_LabelC;Util_A33_Aansl_LabelD;Util_A34_Aansl_LabelE;Util_A35_Aansl_LabelF;H15_CO2_uitstoot;H16_Nat_meerkost;H17_Nat_meerkost_CO2;H18_Nat_meerkost_WEQ;nr_OrgEntity
BU03631000;BU03631000;Coenhaven/Mercuriushaven;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;14577;229;16362;1209968;232015;False;363774;162922;55405;1;0;145446;1515;363774;0;233486;160570;0;59339;-89620;0;6;0;4;0;2570;0;12003;0;0;0;0;2570;0;0;0;0;0;0;0;0;0;14573;4;0;0;0;0;162636;37900;1198;0;29200;94338;271;162636;0;0;124288;0;59339;-20991;0;6612;0;184;0;45;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;229;0;0;0;0;0;16052356;3219;16052356;126
BU03631001;BU03631001;Alfa-driehoek;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1736;48;2220;144022;62814;False;43325;19398;6605;0;0;17321;640;43325;0;27771;18980;0;6609;-10036;0;3;0;2;0;347;0;1387;0;0;0;0;347;0;0;0;0;0;0;0;0;0;1734;2;0;0;0;0;48752;14732;435;0;8871;24714;373;48752;0;0;32623;0;6609;9520;0;1790;0;43;0;5;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;2181446;1599;2181446;127
BU03631100;BU03631100;Sloterdijk II;WK036311;Bedrijventerrein Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;8;80;749;688;96293;False;274;138;60;4;0;73;4;274;0;1422;13650;19250;0;-34047;0;12;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;8;0;0;0;0;76622;20823;539;0;13200;42060;462;76622;0;1422;53904;19250;0;2046;0;2744;0;20;18;42;0;0;0;0;0;0;42;0;0;0;0;18;0;0;0;0;0;80;0;0;0;0;0;1144400;669;1144400;134
BU03631105;BU03631105;Teleport;WK036311;Bedrijventerrein Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;4275;441;9163;334868;635339;False;105458;45780;18073;0;0;41604;747;105458;0;60666;188113;128881;66070;-338273;0;908;0;0;339;1753;0;128;0;0;0;0;1753;0;0;0;0;339;0;0;0;0;3670;247;0;0;0;0;482014;143477;5345;0;91293;241898;1742;482014;0;34833;297979;128881;66070;-45749;0;18107;0;121;247;73;0;0;0;0;0;0;73;0;0;0;0;247;0;0;0;0;0;441;0;0;0;0;0;7608183;566;7608183;138
BU03631200;BU03631200;Houthavens West;WK036312;Houthavens;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1265;60;1751;131503;63140;False;32549;12256;9739;0;0;10555;730;32549;0;1311;20850;5863;0;4524;0;1898;0;1075;190;0;0;0;0;0;0;0;0;0;0;0;0;190;0;0;0;0;0;956;0;0;0;0;35987;7063;591;0;7259;21074;254;35987;0;1311;26857;5863;0;1956;0;1799;0;50;9;1;0;0;0;0;0;0;1;0;0;0;0;9;0;0;0;0;0;60;0;0;0;0;0;737979;354;737979;141
BU03631305;BU03631305;Spaarndammerbuurt Noordwest;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1074;6;1158;71680;10897;False;30990;13354;8206;514;0;8916;1808;30990;0;0;18434;0;7156;5399;0;1611;0;862;0;212;0;0;0;0;0;0;212;0;0;0;0;0;0;0;0;0;0;1074;0;0;0;0;7214;2791;388;0;2861;1173;267;7214;0;0;4657;0;7156;-4600;0;311;0;4;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1675930;756;1675930;148
BU03631306;BU03631306;Westergasfabriek;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;0;39;164;0;21269;False;0;0;0;0;0;0;0;0;0;0;102;420;0;-522;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13468;3055;404;0;4091;5918;147;13468;0;0;8128;420;0;4920;0;606;0;37;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;167532;300;167532;149
BU03631307;BU03631307;Overbraker Binnenpolder;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1237;8;1365;102894;16611;False;30954;13883;4728;1;0;12341;295;30954;0;17525;13442;3505;8835;-12353;0;8;0;4;1;531;0;504;0;0;0;0;531;0;0;0;0;1;0;0;0;0;1232;4;0;0;0;0;10863;1257;100;0;2443;7063;21;10863;0;947;9253;3505;8835;-11678;0;473;0;4;1;3;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;8;0;0;0;0;0;1034520;786;1034520;150
BU03633600;BU03633600;Woon- en Groengebied Sloterdijk;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;226;14;650;17195;55018;False;6143;2847;1359;19;0;1918;81;6143;0;0;5068;0;7872;-6797;0;339;0;36;0;190;0;0;0;0;0;0;190;0;0;0;0;0;0;0;0;0;0;226;0;0;0;0;41538;10799;608;0;9533;20598;219;41538;0;0;26913;0;7872;6754;0;1568;0;9;0;5;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;749479;639;749479;235
BU03633601;BU03633601;Bedrijventerrein Sloterdijk I;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;5534;91;6952;459533;184233;False;138197;61885;21090;7;0;55215;1218;138197;0;88360;72008;0;91489;-113660;0;21;0;14;0;5520;0;0;0;0;0;0;5520;0;0;0;0;0;0;0;0;0;5520;13;0;0;0;0;129307;34056;1219;0;23962;70070;518;129307;0;0;98079;0;91489;-60261;0;5251;0;74;0;17;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;91;0;0;0;0;0;7921157;797;7921157;236
