BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;I12_opp_woningen;I13_opp_utiliteit;Uitgesloten;Woning_H01_Vraag_Totaal;Woning_H02_Vraag_Ruimteverwarming;Woning_H03_Vraag_Tapwater;Woning_H04_Vraag_Ventilatie;Woning_H05_Vraag_Koude;Woning_H06_Vraag_Apparaten;Woning_H07_Vraag_perhectare;Woning_H08_Input_Totaal;Woning_H09_Input_Aardgas;Woning_H10_Input_Duurzaamgas;Woning_H11_Input_Elektriciteit;Woning_H12_Input_MTwarmte;Woning_H13_Input_LTwarmte;Woning_H14_Saldo_Omgevingswarmte;Woning_H19_Waarde_hernieuwbaar_gas;Woning_H21_CapaciteitsvraagE;Woning_A01_Aansl_aardgas;Woning_A02_Aansl_eWP;Woning_A03_Aansl_MT;Woning_A04_Aansl_LT;Woning_A05_Aansl_hWP_HG;Woning_A06_Aansl_HR_HG;Woning_A10_Aansl_LT_WKO;Woning_A11_Aansl_LT_LT15_30;Woning_A12_Aansl_LT_LT15_50;Woning_A13_Aansl_LT_LT15_70;Woning_A14_Aansl_LT_LT30_30;Woning_A15_Aansl_LT_LT30_50;Woning_A16_Aansl_LT_LT30_70;Woning_A17_Aansl_LT_TEO;Woning_A18_Aansl_LT_BuurtWKO;Woning_A19_Aansl_MT_Restwarmte;Woning_A20_Aansl_MT_Geothermie;Woning_A21_Aansl_MT_WijkWKK;Woning_A22_Aansl_MT_BioWKK;Woning_A23_Aansl_H2;Woning_A30_Aansl_LabelA;Woning_A31_Aansl_LabelB;Woning_A32_Aansl_LabelC;Woning_A33_Aansl_LabelD;Woning_A34_Aansl_LabelE;Woning_A35_Aansl_LabelF;Util_H01_Vraag_Totaal;Util_H02_Vraag_Ruimteverwarming;Util_H03_Vraag_Tapwater;Util_H04_Vraag_Ventilatie;Util_H05_Vraag_Koude;Util_H06_Vraag_Apparaten;Util_H07_Vraag_perhectare;Util_H08_Input_Totaal;Util_H09_Input_Aardgas;Util_H10_Input_Duurzaamgas;Util_H11_Input_Elektriciteit;Util_H12_Input_MTwarmte;Util_H13_Input_LTwarmte;Util_H14_Saldo_Omgevingswarmte;Util_H19_Waarde_hernieuwbaar_gas;Util_H21_CapaciteitsvraagE;Util_A01_Aansl_aardgas;Util_A02_Aansl_eWP;Util_A03_Aansl_MT;Util_A04_Aansl_LT;Util_A05_Aansl_hWP_HG;Util_A06_Aansl_HR_HG;Util_A10_Aansl_LT_WKO;Util_A11_Aansl_LT_LT15_30;Util_A12_Aansl_LT_LT15_50;Util_A13_Aansl_LT_LT15_70;Util_A14_Aansl_LT_LT30_30;Util_A15_Aansl_LT_LT30_50;Util_A16_Aansl_LT_LT30_70;Util_A17_Aansl_LT_TEO;Util_A18_Aansl_LT_BuurtWKO;Util_A19_Aansl_MT_Restwarmte;Util_A20_Aansl_MT_Geothermie;Util_A21_Aansl_MT_WijkWKK;Util_A22_Aansl_MT_BioWKK;Util_A23_Aansl_H2;Util_A30_Aansl_LabelA;Util_A31_Aansl_LabelB;Util_A32_Aansl_LabelC;Util_A33_Aansl_LabelD;Util_A34_Aansl_LabelE;Util_A35_Aansl_LabelF;H15_CO2_uitstoot;H16_Nat_meerkost;H17_Nat_meerkost_CO2;H18_Nat_meerkost_WEQ;nr_OrgEntity
BU03631000;BU03631000;Coenhaven/Mercuriushaven;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;14577;229;16362;1209968;232015;False;363792;162940;55405;0;0;145446;1515;363792;0;233625;149609;0;0;-19443;0;6;0;0;0;0;0;14577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14573;0;0;2;0;0;162636;37900;1198;0;29200;94338;271;162636;0;38106;103587;0;0;20943;0;6612;0;0;0;0;0;229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;229;0;0;0;0;0;11212199;2249;11212199;126
BU03631001;BU03631001;Alfa-driehoek;WK036310;Westelijk Havengebied;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1736;48;2220;144022;62814;False;43342;19416;6605;0;0;17321;640;43342;0;27843;17817;0;0;-2318;0;3;0;0;0;0;0;1736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1734;0;0;2;0;0;48752;14732;435;0;8871;24714;373;48752;0;14769;27577;0;0;6405;0;1790;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;1650832;1210;1650832;127
BU03631100;BU03631100;Sloterdijk II;WK036311;Bedrijventerrein Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;8;80;749;688;96293;False;319;186;60;0;0;73;5;319;0;1630;10225;5274;0;-16810;0;12;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;8;0;0;76622;20823;539;0;13200;42060;462;76622;0;17626;46290;5274;0;7433;0;2744;0;0;18;0;0;62;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;80;0;0;0;0;0;451497;264;451497;134
BU03631105;BU03631105;Teleport;WK036311;Bedrijventerrein Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;4275;441;9163;334868;635339;False;105866;46188;18073;0;0;41604;752;105866;0;65487;173084;129135;0;-261841;0;908;0;0;339;0;0;1881;0;0;0;0;0;0;0;0;0;339;0;0;0;0;3670;0;0;174;0;0;482014;143477;5345;0;91293;241898;1742;482014;0;98870;273493;129135;0;-19484;0;18107;0;0;247;0;0;194;0;0;0;0;0;0;0;0;0;247;0;0;0;0;0;441;0;0;0;0;0;4141003;308;4141003;138
BU03631200;BU03631200;Houthavens West;WK036312;Houthavens;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1265;60;1751;131503;63140;False;35873;15579;9739;0;0;10555;840;35873;0;25691;14490;5406;0;-9715;0;1898;0;0;190;0;0;1075;0;0;0;0;0;0;0;0;0;190;0;0;0;0;0;0;0;0;0;0;35987;7063;591;0;7259;21074;254;35987;0;7932;24993;5406;0;-2343;0;1799;0;0;9;0;0;51;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;60;0;0;0;0;0;387672;186;387672;141
BU03631305;BU03631305;Spaarndammerbuurt Noordwest;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1074;6;1158;71680;10897;False;34239;17117;8206;0;0;8916;2124;34239;0;27856;9189;0;0;-2806;0;1611;0;0;0;0;0;1074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1074;0;0;7214;2791;388;0;2861;1173;267;7214;0;3223;2049;0;0;1942;0;311;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;846961;382;846961;148
BU03631306;BU03631306;Westergasfabriek;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;0;39;164;0;21269;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13468;3055;404;0;4091;5918;147;13468;0;3499;7190;0;0;2779;0;606;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;114333;204;114333;149
BU03631307;BU03631307;Overbraker Binnenpolder;WK036313;Spaarndammer- en Zeeheldenbuurt;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;1237;8;1365;102894;16611;False;30972;13903;4728;0;0;12341;295;30972;0;17693;11941;3508;0;-2171;0;8;0;0;1;0;0;1039;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1232;0;0;3;0;0;10863;1257;100;0;2443;7063;21;10863;0;2080;7835;3508;0;-2561;0;473;0;0;1;0;0;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;8;0;0;0;0;0;323155;245;323155;150
BU03633600;BU03633600;Woon- en Groengebied Sloterdijk;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;226;14;650;17195;55018;False;6874;3597;1359;0;0;1918;95;6874;0;5346;1983;0;0;-456;0;339;0;0;0;0;0;226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;41538;10799;608;0;9533;20598;219;41538;0;11229;23571;0;0;6739;0;1568;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;362953;310;362953;235
BU03633601;BU03633601;Bedrijventerrein Sloterdijk I;WK036336;Sloterdijk;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;5534;91;6952;459533;184233;False;138256;61951;21090;0;0;55215;1219;138256;0;88859;56798;0;0;-7401;0;21;0;0;0;0;0;5534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5520;0;0;11;0;0;129307;34056;1219;0;23962;70070;518;129307;0;34439;77822;0;0;17046;0;5251;0;0;0;0;0;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;0;0;0;0;0;1978037;199;1978037;236
BU03636601;BU03636601;Oostzanerdijk;WK036366;Oostzanerwerf;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;241;46;333;21368;11856;False;8655;4752;1542;0;0;2360;141;8655;0;6712;2444;0;0;-501;0;201;0;0;0;0;0;241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;0;0;103;0;0;6726;1959;158;0;1604;3005;47;6726;0;2104;3513;0;0;1109;0;338;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;180254;281;180254;365
BU03636602;BU03636602;Walvisbuurt;WK036366;Oostzanerwerf;GM0363;Amsterdam;Noord-Holland Zuid;Noord-Holland;973;7;1006;88503;4187;False;32243;16764;5928;0;0;9550;466;32243;0;24354;9894;0;0;-2004;0;819;0;0;0;0;0;973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;427;0;0;487;0;0;3267;748;16;0;505;1998;16;3267;0;741;2160;0;0;366;0;119;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;726717;641;726717;366
